Quarter,State,Male,Female,TotalPopulation,NaturalIncrease,NetOverseasMigration,NetInterstateMigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,Queensland,2458389,2502576,4960965,6754,1818,7607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,South Australia,857807,877847,1735654,1110,2039,-1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,Tasmania,263305,268256,531561,213,483,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,Victoria,3144429,3213781,6358210,10309,14946,3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,Western Australia,1302076,1297852,2599928,4924,1218,-2746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,Australian Capital Territory,209495,214315,423810,834,1941,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,New South Wales,3939656,3995032,7934688,12484,30281,-5942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,Northern Territory,126965,119709,246674,671,317,-929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,Queensland,2470827,2515128,4985955,8262,11337,5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,South Australia,861105,881150,1742255,1736,4715,-950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,Tasmania,264817,269937,534754,387,815,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,Victoria,3165233,3233353,6398586,10665,30962,2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,Western Australia,1307249,1303071,2610320,5140,4733,-1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,Australian Capital Territory,210616,215465,426081,747,692,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,New South Wales,3950763,4003713,7954476,11430,17047,-5622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,Northern Territory,127221,119874,247095,718,551,-602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,Queensland,2481008,2525615,5006623,7644,7546,5834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,South Australia,863034,883103,1746137,1263,2399,-879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,Tasmania,266108,271183,537291,185,518,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,Victoria,3178223,3244815,6423038,9851,16495,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,Western Australia,1310728,1307064,2617792,4653,2309,-1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,Australian Capital Territory,211661,216756,428417,759,1259,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,New South Wales,3966560,4017965,7984525,10545,27542,-4749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,Northern Territory,127009,119997,247006,625,51,-513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
